,id,retweet_count,favorite_count
184,862831371563274240,5356,19794
185,862722525377298433,3735,17597
186,862457590147678208,5262,21218
187,862096992088072192,24671,77139
188,861383897657036800,11326,37286
189,861288531465048066,4415,17787
190,861005113778896900,4040,17296
191,860981674716409858,2289,0
192,860924035999428608,870,0
193,860563773140209665,2289,7768
194,860524505164394496,5592,24425
195,860276583193509888,3685,18934
196,860184849394610176,6205,17275
197,860177593139703809,32794,0
198,859924526012018688,4274,19797
199,859851578198683649,3722,15934
200,859607811541651456,1674,19268
201,859196978902773760,32211,93450
202,859074603037188101,14483,35155
203,858860390427611136,8656,0
204,858843525470990336,3700,16120
205,858471635011153920,5166,22343
206,858107933456039936,3103,16337
207,857989990357356544,2756,16751
208,857746408056729600,11317,35595
209,857393404942143489,1747,6150
210,857263160327368704,4842,20780
211,857214891891077121,20,240
212,857062103051644929,181,0
213,857029823797047296,4285,19684
214,856602993587888130,11438,0
215,856543823941562368,3084,16959
216,856526610513747968,2023,12320
217,856330835276025856,722,0
218,856288084350160898,17,535
219,856282028240666624,6742,28778
220,855862651834028034,28,362
221,855860136149123072,1102,4988
222,855857698524602368,2273,12353
223,855851453814013952,18913,47320
224,855818117272018944,5846,27746
225,855459453768019968,8856,31313
226,855245323840757760,6446,0
227,855138241867124737,49,0
228,854732716440526848,6570,23922
229,854482394044301312,7444,30740
230,854365224396361728,5072,19797
231,854120357044912130,8140,33504
232,854010172552949760,3390,16973
233,853760880890318849,6280,30070
234,853639147608842240,11047,36702
235,853299958564483072,3864,16321
236,852936405516943360,2192,0
237,852912242202992640,2003,9508
238,852672615818899456,2338,15727
239,852553447878664193,3821,17283
240,852311364735569921,10778,34912
241,852226086759018497,7436,21103
242,852189679701164033,1720,12084
243,851953902622658560,10518,0
244,851861385021730816,23,0
245,851591660324737024,3775,17105
246,851464819735769094,7714,25654
247,851224888060895234,6243,21849
248,850753642995093505,10174,32928
249,850380195714523136,2858,13821
250,850333567704068097,363,3608
251,850145622816686080,4177,17311
252,850019790995546112,5367,21678
253,849776966551130114,8342,32330
254,849668094696017920,5435,0
255,849412302885593088,3431,16845
256,849336543269576704,2069,12115
257,849051919805034497,9251,44175
258,848690551926992896,4740,26779
259,848324959059550208,5051,26330
260,848213670039564288,818,8709
261,848212111729840128,3382,17396
262,847978865427394560,3592,0
263,847971574464610304,471,0
264,847962785489326080,5643,24995
265,847842811428974592,1486,5854
266,847617282490613760,459,7465
267,847606175596138505,3710,19956
268,847251039262605312,4712,21745
269,847157206088847362,6453,21308
270,847116187444137987,3518,22839
271,846874817362120707,4333,21420
272,846514051647705089,12814,47737
273,846505985330044928,3421,15107
274,846153765933735936,10020,33934
275,846139713627017216,10793,32860
276,846042936437604353,3173,17067
277,845812042753855489,9678,31298
278,845677943972139009,5273,26817
279,845459076796616705,14780,0
280,845397057150107648,2028,8146
281,845306882940190720,5944,24939
282,845098359547420673,8491,0
283,844979544864018432,2858,14562
284,844973813909606400,3551,16164
285,844704788403113984,11438,41464
286,844580511645339650,3473,17628
287,844223788422217728,2422,14582
288,843981021012017153,3226,16147
289,843856843873095681,5135,22914
290,843604394117681152,3031,18092
291,843235543001513987,6722,23034
292,842846295480000512,3948,16270
293,842765311967449089,1419,7235
294,842535590457499648,3870,19391
295,842163532590374912,6446,26267
296,842115215311396866,3340,15036
297,841833993020538882,17121,0
